Connected, dumping recent logs for app cf-js-example-post in org jashuntest-org / space development as jashunwan01@gmail.com...

2017-01-07T12:56:40.58+0800 [API/5]      OUT Created app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb
2017-01-07T12:56:45.53+0800 [API/2]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"route"=>"98d3e39a-1b0c-4a63-bc1d-3daf4a094261", :verb=>"add", :relation=>"routes", :related_guid=>"98d3e39a-1b0c-4a63-bc1d-3daf4a094261"})
2017-01-07T12:57:10.76+0800 [API/0]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"state"=>"STARTED"})
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading binary_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading go_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading php_buildpack...
2017-01-07T12:57:11.06+0800 [STG/0]      OUT Downloading nodejs_buildpack...
2017-01-07T12:57:11.07+0800 [STG/0]      OUT Downloading dotnet_core_buildpack...
2017-01-07T12:57:11.09+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack
2017-01-07T12:57:11.09+0800 [STG/0]      OUT Downloading dotnet_core_buildpack_beta...
2017-01-07T12:57:11.11+0800 [STG/0]      OUT Downloaded nodejs_buildpack
2017-01-07T12:57:11.11+0800 [STG/0]      OUT Downloading python_buildpack...
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloaded binary_buildpack
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloading java_buildpack...
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloaded go_buildpack
2017-01-07T12:57:11.12+0800 [STG/0]      OUT Downloading staticfile_buildpack...
2017-01-07T12:57:11.13+0800 [STG/0]      OUT Downloaded dotnet_core_buildpack_beta
2017-01-07T12:57:11.13+0800 [STG/0]      OUT Downloading ruby_buildpack...
2017-01-07T12:57:11.16+0800 [STG/0]      OUT Downloaded java_buildpack
2017-01-07T12:57:11.16+0800 [STG/0]      OUT Downloaded python_buildpack
2017-01-07T12:57:11.17+0800 [STG/0]      OUT Downloaded staticfile_buildpack
2017-01-07T12:57:11.17+0800 [STG/0]      OUT Downloaded ruby_buildpack
2017-01-07T12:57:11.85+0800 [STG/0]      OUT Downloaded php_buildpack
2017-01-07T12:57:11.85+0800 [STG/0]      OUT Creating container
2017-01-07T12:57:13.85+0800 [STG/0]      OUT Successfully created container
2017-01-07T12:57:13.85+0800 [STG/0]      OUT Downloading app package...
2017-01-07T12:57:14.17+0800 [STG/0]      OUT Downloaded app package (1.6M)
2017-01-07T12:57:14.17+0800 [STG/0]      OUT Staging...
2017-01-07T12:57:14.73+0800 [STG/0]      OUT -------> Buildpack version 1.5.25
2017-01-07T12:57:14.78+0800 [STG/0]      OUT -----> Creating runtime environment
2017-01-07T12:57:14.78+0800 [STG/0]      OUT        
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        mime@1.2.11 /tmp/app/node_modules/mime
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        range-parser@0.0.4 /tmp/app/node_modules/range-parser
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        cookie@0.1.0 /tmp/app/node_modules/cookie
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        methods@0.0.1 /tmp/app/node_modules/methods
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        mkdirp@0.3.4 /tmp/app/node_modules/mkdirp
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        send@0.1.0 /tmp/app/node_modules/send
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        mime@1.2.6 /tmp/app/node_modules/send/node_modules/mime
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        jade@1.11.0 /tmp/app/node_modules/jade
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        character-parser@1.2.1 /tmp/app/node_modules/character-parser
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        clean-css@3.4.23 /tmp/app/node_modules/clean-css
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        commander@2.8.1 /tmp/app/node_modules/clean-css/node_modules/commander
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        graceful-readlink@1.0.1 /tmp/app/node_modules/graceful-readlink
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        source-map@0.4.4 /tmp/app/node_modules/source-map
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        amdefine@1.0.1 /tmp/app/node_modules/amdefine
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        commander@2.6.0 /tmp/app/node_modules/jade/node_modules/commander
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        constantinople@3.0.2 /tmp/app/node_modules/constantinople
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        acorn@2.7.0 /tmp/app/node_modules/acorn
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        jstransformer@0.0.2 /tmp/app/node_modules/jstransformer
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        is-promise@2.1.0 /tmp/app/node_modules/is-promise
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        promise@6.1.0 /tmp/app/node_modules/promise
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        asap@1.0.0 /tmp/app/node_modules/asap
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        mkdirp@0.5.1 /tmp/app/node_modules/jade/node_modules/mkdirp
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        minimist@0.0.8 /tmp/app/node_modules/minimist
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        transformers@2.1.0 /tmp/app/node_modules/transformers
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        css@1.0.8 /tmp/app/node_modules/css
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        css-parse@1.0.4 /tmp/app/node_modules/css-parse
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        css-stringify@1.0.5 /tmp/app/node_modules/css-stringify
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        promise@2.0.0 /tmp/app/node_modules/transformers/node_modules/promise
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        is-promise@1.0.1 /tmp/app/node_modules/transformers/node_modules/is-promise
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        uglify-js@2.2.5 /tmp/app/node_modules/transformers/node_modules/uglify-js
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        optimist@0.3.7 /tmp/app/node_modules/optimist
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        wordwrap@0.0.3 /tmp/app/node_modules/wordwrap
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        source-map@0.1.43 /tmp/app/node_modules/transformers/node_modules/source-map
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        uglify-js@2.7.5 /tmp/app/node_modules/uglify-js
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        async@0.2.10 /tmp/app/node_modules/async
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        source-map@0.5.6 /tmp/app/node_modules/uglify-js/node_modules/source-map
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        uglify-to-browserify@1.0.2 /tmp/app/node_modules/uglify-to-browserify
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        yargs@3.10.0 /tmp/app/node_modules/yargs
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        camelcase@1.2.1 /tmp/app/node_modules/camelcase
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        cliui@2.1.0 /tmp/app/node_modules/cliui
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        center-align@0.1.3 /tmp/app/node_modules/center-align
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        align-text@0.1.4 /tmp/app/node_modules/align-text
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        kind-of@3.1.0 /tmp/app/node_modules/kind-of
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        is-buffer@1.1.4 /tmp/app/node_modules/is-buffer
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        longest@1.0.1 /tmp/app/node_modules/longest
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        repeat-string@1.6.1 /tmp/app/node_modules/repeat-string
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        lazy-cache@1.0.4 /tmp/app/node_modules/lazy-cache
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        right-align@0.1.3 /tmp/app/node_modules/right-align
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        wordwrap@0.0.2 /tmp/app/node_modules/cliui/node_modules/wordwrap
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        decamelize@1.2.0 /tmp/app/node_modules/decamelize
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        window-size@0.1.0 /tmp/app/node_modules/window-size
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        void-elements@2.0.1 /tmp/app/node_modules/void-elements
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        with@4.0.3 /tmp/app/node_modules/with
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        acorn@1.2.2 /tmp/app/node_modules/with/node_modules/acorn
2017-01-07T12:57:17.24+0800 [STG/0]      OUT        acorn-globals@1.0.9 /tmp/app/node_modules/acorn-globals
2017-01-07T12:57:17.25+0800 [STG/0]      OUT        Installing any new modules (package.json)
2017-01-07T12:57:18.59+0800 [STG/0]      OUT -----> Caching build
2017-01-07T12:57:18.60+0800 [STG/0]      OUT        Clearing previous node cache
2017-01-07T12:57:18.60+0800 [STG/0]      OUT        Saving 2 cacheDirectories (default):
2017-01-07T12:57:18.60+0800 [STG/0]      OUT        - node_modules
2017-01-07T12:57:18.71+0800 [STG/0]      OUT        - bower_components (nothing to cache)
2017-01-07T12:57:18.93+0800 [STG/0]      OUT -----> Build succeeded!
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── acorn@2.7.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── acorn-globals@1.0.9
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── align-text@0.1.4
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── amdefine@1.0.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── asap@1.0.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── async@0.2.10
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── buffer-crc32@0.2.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── bytes@0.2.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── camelcase@1.2.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── center-align@0.1.3
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── character-parser@1.2.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── clean-css@3.4.23
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── cliui@2.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── commander@0.6.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── connect@2.7.11
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── constantinople@3.0.2
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── cookie@0.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── cookie-signature@1.0.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── css@1.0.8
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── css-parse@1.0.4
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── css-stringify@1.0.5
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── debug@2.6.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── decamelize@1.2.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── express@3.2.6
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── formidable@1.0.14
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── fresh@0.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── graceful-readlink@1.0.1 extraneous
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── is-buffer@1.1.4
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── is-promise@2.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── jade@1.11.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── jstransformer@0.0.2
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── kind-of@3.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── lazy-cache@1.0.4
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── longest@1.0.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── methods@0.0.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── mime@1.2.11
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── minimist@0.0.8 extraneous
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── mkdirp@0.3.4
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── ms@0.7.2
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── optimist@0.3.7 extraneous
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── pause@0.0.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── promise@6.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── qs@0.6.5
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── range-parser@0.0.4
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── repeat-string@1.6.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── right-align@0.1.3
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── send@0.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── source-map@0.4.4
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── transformers@2.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── uglify-js@2.7.5
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── uglify-to-browserify@1.0.2
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── void-elements@2.0.1
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── window-size@0.1.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── with@4.0.3
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        ├── wordwrap@0.0.3
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        └── yargs@3.10.0
2017-01-07T12:57:19.63+0800 [STG/0]      OUT        
2017-01-07T12:57:22.07+0800 [STG/0]      OUT Exit status 0
2017-01-07T12:57:22.07+0800 [STG/0]      OUT Staging complete
2017-01-07T12:57:22.07+0800 [STG/0]      OUT Uploading droplet, build artifacts cache...
2017-01-07T12:57:22.07+0800 [STG/0]      OUT Uploading droplet...
2017-01-07T12:57:22.07+0800 [STG/0]      OUT Uploading build artifacts cache...
2017-01-07T12:57:22.16+0800 [STG/0]      OUT Uploaded build artifacts cache (1.3M)
2017-01-07T12:57:24.35+0800 [STG/0]      OUT Uploaded droplet (10.6M)
2017-01-07T12:57:24.35+0800 [STG/0]      OUT Uploading complete
2017-01-07T12:57:24.57+0800 [STG/0]      OUT Destroying container
2017-01-07T12:57:25.26+0800 [CELL/0]     OUT Creating container
2017-01-07T12:57:26.50+0800 [STG/0]      OUT Successfully destroyed container
2017-01-07T12:57:26.70+0800 [CELL/0]     OUT Successfully created container
2017-01-07T12:57:28.88+0800 [CELL/0]     OUT Starting health monitoring of container
2017-01-07T12:57:29.74+0800 [APP/PROC/WEB/0]OUT > cf-js-example-post@0.0.1 start /home/vcap/app
2017-01-07T12:57:29.74+0800 [APP/PROC/WEB/0]OUT > node app.js
2017-01-07T12:57:29.94+0800 [APP/PROC/WEB/0]OUT Express server listening on port 8080
2017-01-07T12:57:30.99+0800 [CELL/0]     OUT Container became healthy
2017-01-07T12:58:09.58+0800 [RTR/5]      OUT cf-js-example-post-unobverted-megalosaur.cfapps.io - [07/01/2017:04:58:09.200 +0000] "GET / HTTP/1.1" 200 0 170 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36" "10.10.66.143:12886" "10.10.155.56:60090" x_forwarded_for:"61.231.50.70" x_forwarded_proto:"http" vcap_request_id:"9ddb6a37-8ba7-48c6-58b6-f7434430623a" response_time:0.382976487 app_id:"5f27d930-cf28-4b66-9223-75f7342e96fb" app_index:"0" x_b3_traceid:"bb10876f00040bad" x_b3_spanid:"bb10876f00040bad" x_b3_parentspanid:"-"
2017-01-07T12:58:09.58+0800 [APP/PROC/WEB/0]OUT [90mGET / [32m200 [90m377ms - 170b[0m
2017-01-07T12:58:09.81+0800 [RTR/3]      OUT cf-js-example-post-unobverted-megalosaur.cfapps.io - [07/01/2017:04:58:09.803 +0000] "GET /stylesheets/style.css HTTP/1.1" 200 0 117 "http://cf-js-example-post-unobverted-megalosaur.cfapps.io/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36" "10.10.66.143:35722" "10.10.155.56:60090" x_forwarded_for:"61.231.50.70" x_forwarded_proto:"http" vcap_request_id:"e9abe8aa-56b5-4b12-641f-3cfb8e464168" response_time:0.011232235 app_id:"5f27d930-cf28-4b66-9223-75f7342e96fb" app_index:"0" x_b3_traceid:"bd4955ad8e340f14" x_b3_spanid:"bd4955ad8e340f14" x_b3_parentspanid:"-"
2017-01-07T12:58:09.81+0800 [APP/PROC/WEB/0]OUT [90mGET /stylesheets/style.css [32m200 [90m8ms - 117b[0m
2017-01-07T12:58:10.40+0800 [RTR/2]      OUT cf-js-example-post-unobverted-megalosaur.cfapps.io - [07/01/2017:04:58:10.402 +0000] "GET /favicon.ico HTTP/1.1" 200 0 1406 "http://cf-js-example-post-unobverted-megalosaur.cfapps.io/" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36" "10.10.66.143:26170" "10.10.155.56:60090" x_forwarded_for:"61.231.50.70" x_forwarded_proto:"http" vcap_request_id:"369c3ad7-f985-40b5-78d7-8c16e92dd78f" response_time:0.005322052 app_id:"5f27d930-cf28-4b66-9223-75f7342e96fb" app_index:"0" x_b3_traceid:"d91dcdac72a90675" x_b3_spanid:"d91dcdac72a90675" x_b3_parentspanid:"-"
2017-01-07T12:58:19.76+0800 [RTR/2]      OUT cf-js-example-post-unobverted-megalosaur.cfapps.io - [07/01/2017:04:58:19.726 +0000] "GET /test HTTP/1.1" 200 0 467 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36" "10.10.66.143:26170" "10.10.155.56:60090" x_forwarded_for:"61.231.50.70" x_forwarded_proto:"http" vcap_request_id:"02c3bfda-d449-43f3-74b5-8c589e8e31e4" response_time:0.035600932 app_id:"5f27d930-cf28-4b66-9223-75f7342e96fb" app_index:"0" x_b3_traceid:"443655225d064340" x_b3_spanid:"443655225d064340" x_b3_parentspanid:"-"
2017-01-07T12:58:19.77+0800 [APP/PROC/WEB/0]OUT [90mGET /test [32m200 [90m33ms - 467b[0m
2017-01-07T12:58:19.99+0800 [RTR/0]      OUT cf-js-example-post-unobverted-megalosaur.cfapps.io - [07/01/2017:04:58:19.987 +0000] "GET /stylesheets/style.css HTTP/1.1" 304 0 0 "http://cf-js-example-post-unobverted-megalosaur.cfapps.io/test" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36" "10.10.66.143:3352" "10.10.155.56:60090" x_forwarded_for:"61.231.50.70" x_forwarded_proto:"http" vcap_request_id:"d46259b3-b14f-4665-5435-35acc1c2df9d" response_time:0.004134831 app_id:"5f27d930-cf28-4b66-9223-75f7342e96fb" app_index:"0" x_b3_traceid:"9e2a9aca8e5bcef3" x_b3_spanid:"9e2a9aca8e5bcef3" x_b3_parentspanid:"-"
2017-01-07T12:58:19.99+0800 [APP/PROC/WEB/0]OUT [90mGET /stylesheets/style.css [36m304 [90m2ms[0m
2017-01-07T12:58:38.98+0800 [RTR/4]      OUT cf-js-example-post-unobverted-megalosaur.cfapps.io - [07/01/2017:04:58:38.974 +0000] "POST /test HTTP/1.1" 200 40 51 "http://cf-js-example-post-unobverted-megalosaur.cfapps.io/test" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36" "10.10.66.143:45129" "10.10.155.56:60090" x_forwarded_for:"61.231.50.70" x_forwarded_proto:"http" vcap_request_id:"07f720bc-d8a3-4da7-51f2-c99c6652afcd" response_time:0.006637408 app_id:"5f27d930-cf28-4b66-9223-75f7342e96fb" app_index:"0" x_b3_traceid:"4c90e7317b789173" x_b3_spanid:"4c90e7317b789173" x_b3_parentspanid:"-"
2017-01-07T12:58:39.00+0800 [APP/PROC/WEB/0]OUT js wan
2017-01-07T12:58:39.00+0800 [APP/PROC/WEB/0]OUT JaShun Wan Test
2017-01-07T12:58:39.00+0800 [APP/PROC/WEB/0]OUT [90mPOST /test [32m200 [90m4ms - 51b[0m
2017-01-07T13:42:37.07+0800 [API/2]      OUT Updated app with guid 5f27d930-cf28-4b66-9223-75f7342e96fb ({"name"=>"cf-js-example-post", "instances"=>1, "memory"=>512, "environment_json"=>"PRIVATE DATA HIDDEN"})
2017-01-07T13:43:20.73+0800 [CELL/0]     OUT Exit status 0
